surface_id,topology_proxy_kind,surface_selector,formal_n,coupling_id,eta_estimator,source_observable,fit_method,sizes,eta_proxy,eta_stderr,eta_anchor_lpa,gamma_anchor_lpa,gamma_phi_proxy_lpa,status_lpa,eta_anchor_de2,gamma_anchor_de2,gamma_phi_proxy_de2,status_de2,target_ratio_lpa,target_ratio_de2
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,n2.78_direct_crossing::n2.78_m1.000_lam1.050,chi_connected,susceptibility,fractional chi ~ L^(2-eta),"6,8,10",2.6225144191,0.2907508199,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,n2.78_direct_crossing::n2.78_m1.000_lam1.050,kmin_structure,structure_factor_kmin,fractional S(k_min) ~ L^(2-eta),"6,8,10",1.6909852690,0.2055727385,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,n2.78_direct_crossing::n2.78_m1.000_lam1.100,chi_connected,susceptibility,fractional chi ~ L^(2-eta),"6,8,10",2.5350113409,0.3046398392,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,n2.78_direct_crossing::n2.78_m1.000_lam1.100,kmin_structure,structure_factor_kmin,fractional S(k_min) ~ L^(2-eta),"6,8,10",1.5844017083,0.1606926072,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,n2.78_direct_crossing::n2.78_m1.000_lam1.200,chi_connected,susceptibility,fractional chi ~ L^(2-eta),"6,8,10",1.5150554396,0.2533890406,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,n2.78_direct_crossing::n2.78_m1.000_lam1.200,kmin_structure,structure_factor_kmin,fractional S(k_min) ~ L^(2-eta),"6,8,10",1.5843386205,0.1815682057,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,n2.78_direct_crossing::n2.78_m1.050_lam1.000,chi_connected,susceptibility,fractional chi ~ L^(2-eta),"6,8,10",2.1792963307,0.2665641980,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,n2.78_direct_crossing::n2.78_m1.050_lam1.000,kmin_structure,structure_factor_kmin,fractional S(k_min) ~ L^(2-eta),"6,8,10",2.0184147882,0.2008073918,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,n2.78_direct_crossing::n2.78_m1.050_lam1.150,chi_connected,susceptibility,fractional chi ~ L^(2-eta),"6,8,10",1.8199196570,0.3538367908,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,n2.78_direct_crossing::n2.78_m1.050_lam1.150,kmin_structure,structure_factor_kmin,fractional S(k_min) ~ L^(2-eta),"6,8,10",2.1307054514,0.2188065774,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,n2.78_direct_rg_invariant::n2.78_m0.950_lam1.000,chi_connected,susceptibility,fractional chi ~ L^(2-eta),"6,8,10",2.0453428158,0.2701755925,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,n2.78_direct_rg_invariant::n2.78_m0.950_lam1.000,kmin_structure,structure_factor_kmin,fractional S(k_min) ~ L^(2-eta),"6,8,10",1.7367791523,0.1671103548,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,n2.78_direct_rg_invariant::n2.78_m0.950_lam1.100,chi_connected,susceptibility,fractional chi ~ L^(2-eta),"6,8,10",2.2293504357,0.3507439373,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,n2.78_direct_rg_invariant::n2.78_m0.950_lam1.100,kmin_structure,structure_factor_kmin,fractional S(k_min) ~ L^(2-eta),"6,8,10",2.1186940480,0.1668643485,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,n2.78_direct_rg_invariant::n2.78_m1.000_lam1.150,chi_connected,susceptibility,fractional chi ~ L^(2-eta),"6,8,10",1.8608937680,0.3619037091,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,n2.78_direct_rg_invariant::n2.78_m1.000_lam1.150,kmin_structure,structure_factor_kmin,fractional S(k_min) ~ L^(2-eta),"6,8,10",1.6373120477,0.1734638712,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,n2.78_direct_rg_invariant::n2.78_m1.000_lam1.200,chi_connected,susceptibility,fractional chi ~ L^(2-eta),"6,8,10",1.5150554396,0.2533890406,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,n2.78_direct_rg_invariant::n2.78_m1.000_lam1.200,kmin_structure,structure_factor_kmin,fractional S(k_min) ~ L^(2-eta),"6,8,10",1.5843386205,0.1815682057,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,n2.78_direct_rg_invariant::n2.78_m1.050_lam1.050,chi_connected,susceptibility,fractional chi ~ L^(2-eta),"6,8,10",1.8088054595,0.3104928913,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,n2.78_direct_rg_invariant::n2.78_m1.050_lam1.050,kmin_structure,structure_factor_kmin,fractional S(k_min) ~ L^(2-eta),"6,8,10",1.9485475822,0.1700839780,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_embedding_crossing,t_projected_fractional_embedding,crossing,2.780000,n2.78_embedding_crossing::n2.78_m10.000_lam1.000,chi_connected,susceptibility,fractional chi ~ L^(2-eta),"6,8,10",1.0739534903,0.3761415842,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_embedding_crossing,t_projected_fractional_embedding,crossing,2.780000,n2.78_embedding_crossing::n2.78_m10.000_lam1.000,kmin_structure,structure_factor_kmin,fractional S(k_min) ~ L^(2-eta),"6,8,10",1.8385686392,0.3067936097,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_embedding_crossing,t_projected_fractional_embedding,crossing,2.780000,n2.78_embedding_crossing::n2.78_m12.000_lam0.500,chi_connected,susceptibility,fractional chi ~ L^(2-eta),"6,8,10",2.1250067523,0.5360090830,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_embedding_crossing,t_projected_fractional_embedding,crossing,2.780000,n2.78_embedding_crossing::n2.78_m12.000_lam0.500,kmin_structure,structure_factor_kmin,fractional S(k_min) ~ L^(2-eta),"6,8,10",1.3865391918,0.2542049144,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_embedding_crossing,t_projected_fractional_embedding,crossing,2.780000,n2.78_embedding_crossing::n2.78_m12.000_lam1.500,chi_connected,susceptibility,fractional chi ~ L^(2-eta),"6,8,10",1.2395052168,0.4916441783,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_embedding_crossing,t_projected_fractional_embedding,crossing,2.780000,n2.78_embedding_crossing::n2.78_m12.000_lam1.500,kmin_structure,structure_factor_kmin,fractional S(k_min) ~ L^(2-eta),"6,8,10",2.0614088237,0.2515678381,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_embedding_crossing,t_projected_fractional_embedding,crossing,2.780000,n2.78_embedding_crossing::n2.78_m12.000_lam2.000,chi_connected,susceptibility,fractional chi ~ L^(2-eta),"6,8,10",1.1950900506,0.5635354920,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_embedding_crossing,t_projected_fractional_embedding,crossing,2.780000,n2.78_embedding_crossing::n2.78_m12.000_lam2.000,kmin_structure,structure_factor_kmin,fractional S(k_min) ~ L^(2-eta),"6,8,10",1.8917268524,0.3024381811,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_embedding_rg_invariant,t_projected_fractional_embedding,rg_invariant,2.780000,n2.78_embedding_rg_invariant::n2.78_m12.000_lam1.000,chi_connected,susceptibility,fractional chi ~ L^(2-eta),"6,8,10",2.4283618673,0.4111382331,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_embedding_rg_invariant,t_projected_fractional_embedding,rg_invariant,2.780000,n2.78_embedding_rg_invariant::n2.78_m12.000_lam1.000,kmin_structure,structure_factor_kmin,fractional S(k_min) ~ L^(2-eta),"6,8,10",1.2472771550,0.2573365110,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_embedding_rg_invariant,t_projected_fractional_embedding,rg_invariant,2.780000,n2.78_embedding_rg_invariant::n2.78_m14.000_lam0.500,chi_connected,susceptibility,fractional chi ~ L^(2-eta),"6,8,10",2.0264558592,0.4604598581,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_embedding_rg_invariant,t_projected_fractional_embedding,rg_invariant,2.780000,n2.78_embedding_rg_invariant::n2.78_m14.000_lam0.500,kmin_structure,structure_factor_kmin,fractional S(k_min) ~ L^(2-eta),"6,8,10",1.8665744157,0.2025467861,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_embedding_rg_invariant,t_projected_fractional_embedding,rg_invariant,2.780000,n2.78_embedding_rg_invariant::n2.78_m14.000_lam1.500,chi_connected,susceptibility,fractional chi ~ L^(2-eta),"6,8,10",2.2839692245,0.4770304168,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_embedding_rg_invariant,t_projected_fractional_embedding,rg_invariant,2.780000,n2.78_embedding_rg_invariant::n2.78_m14.000_lam1.500,kmin_structure,structure_factor_kmin,fractional S(k_min) ~ L^(2-eta),"6,8,10",1.7702437257,0.2681310458,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_embedding_rg_invariant,t_projected_fractional_embedding,rg_invariant,2.780000,n2.78_embedding_rg_invariant::n2.78_m8.000_lam2.000,chi_connected,susceptibility,fractional chi ~ L^(2-eta),"6,8,10",1.2229102931,0.6354688952,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
n2.78_embedding_rg_invariant,t_projected_fractional_embedding,rg_invariant,2.780000,n2.78_embedding_rg_invariant::n2.78_m8.000_lam2.000,kmin_structure,structure_factor_kmin,fractional S(k_min) ~ L^(2-eta),"6,8,10",1.2523194513,0.2450600162,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
