surface_id,topology_proxy_kind,surface_selector,formal_n,coupling_id,eta_estimator,anchor_method,eta_proxy,eta_anchor,gamma_anchor,transfer_factor_raw,transfer_factor_median,transfer_factor_cv,transfer_stability_pass,eta_transfer_corrected,gamma_phi_transfer_corrected,target_ratio_transfer,status_transfer
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,n2.78_direct_crossing::n2.78_m1.000_lam1.050,chi_connected,de2,2.6225144191,0.0320000000,0.4620000000,81.9535755969,68.1030103344,0.1969193398,False,,,,unstable_transfer_candidate
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,n2.78_direct_crossing::n2.78_m1.000_lam1.100,chi_connected,de2,2.5350113409,0.0320000000,0.4620000000,79.2191044031,68.1030103344,0.1969193398,False,,,,unstable_transfer_candidate
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,n2.78_direct_crossing::n2.78_m1.000_lam1.200,chi_connected,de2,1.5150554396,0.0320000000,0.4620000000,47.3454824875,68.1030103344,0.1969193398,False,,,,unstable_transfer_candidate
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,n2.78_direct_crossing::n2.78_m1.050_lam1.000,chi_connected,de2,2.1792963307,0.0320000000,0.4620000000,68.1030103344,68.1030103344,0.1969193398,False,,,,unstable_transfer_candidate
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,n2.78_direct_crossing::n2.78_m1.050_lam1.150,chi_connected,de2,1.8199196570,0.0320000000,0.4620000000,56.8724892812,68.1030103344,0.1969193398,False,,,,unstable_transfer_candidate
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,n2.78_direct_crossing::n2.78_m1.000_lam1.050,kmin_structure,de2,1.6909852690,0.0320000000,0.4620000000,52.8432896563,52.8432896563,0.1270311516,False,,,,unstable_transfer_candidate
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,n2.78_direct_crossing::n2.78_m1.000_lam1.100,kmin_structure,de2,1.5844017083,0.0320000000,0.4620000000,49.5125533844,52.8432896563,0.1270311516,False,,,,unstable_transfer_candidate
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,n2.78_direct_crossing::n2.78_m1.000_lam1.200,kmin_structure,de2,1.5843386205,0.0320000000,0.4620000000,49.5105818906,52.8432896563,0.1270311516,False,,,,unstable_transfer_candidate
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,n2.78_direct_crossing::n2.78_m1.050_lam1.000,kmin_structure,de2,2.0184147882,0.0320000000,0.4620000000,63.0754621312,52.8432896563,0.1270311516,False,,,,unstable_transfer_candidate
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,n2.78_direct_crossing::n2.78_m1.050_lam1.150,kmin_structure,de2,2.1307054514,0.0320000000,0.4620000000,66.5845453562,52.8432896563,0.1270311516,False,,,,unstable_transfer_candidate
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,n2.78_direct_rg_invariant::n2.78_m0.950_lam1.000,chi_connected,de2,2.0453428158,0.0320000000,0.4620000000,63.9169629938,58.1529302500,0.1267020239,False,,,,unstable_transfer_candidate
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,n2.78_direct_rg_invariant::n2.78_m0.950_lam1.100,chi_connected,de2,2.2293504357,0.0320000000,0.4620000000,69.6672011156,58.1529302500,0.1267020239,False,,,,unstable_transfer_candidate
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,n2.78_direct_rg_invariant::n2.78_m1.000_lam1.150,chi_connected,de2,1.8608937680,0.0320000000,0.4620000000,58.1529302500,58.1529302500,0.1267020239,False,,,,unstable_transfer_candidate
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,n2.78_direct_rg_invariant::n2.78_m1.000_lam1.200,chi_connected,de2,1.5150554396,0.0320000000,0.4620000000,47.3454824875,58.1529302500,0.1267020239,False,,,,unstable_transfer_candidate
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,n2.78_direct_rg_invariant::n2.78_m1.050_lam1.050,chi_connected,de2,1.8088054595,0.0320000000,0.4620000000,56.5251706094,58.1529302500,0.1267020239,False,,,,unstable_transfer_candidate
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,n2.78_direct_rg_invariant::n2.78_m0.950_lam1.000,kmin_structure,de2,1.7367791523,0.0320000000,0.4620000000,54.2743485094,54.2743485094,0.1109264482,False,,,,unstable_transfer_candidate
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,n2.78_direct_rg_invariant::n2.78_m0.950_lam1.100,kmin_structure,de2,2.1186940480,0.0320000000,0.4620000000,66.2091890000,54.2743485094,0.1109264482,False,,,,unstable_transfer_candidate
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,n2.78_direct_rg_invariant::n2.78_m1.000_lam1.150,kmin_structure,de2,1.6373120477,0.0320000000,0.4620000000,51.1660014906,54.2743485094,0.1109264482,False,,,,unstable_transfer_candidate
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,n2.78_direct_rg_invariant::n2.78_m1.000_lam1.200,kmin_structure,de2,1.5843386205,0.0320000000,0.4620000000,49.5105818906,54.2743485094,0.1109264482,False,,,,unstable_transfer_candidate
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,n2.78_direct_rg_invariant::n2.78_m1.050_lam1.050,kmin_structure,de2,1.9485475822,0.0320000000,0.4620000000,60.8921119438,54.2743485094,0.1109264482,False,,,,unstable_transfer_candidate
n2.78_embedding_crossing,t_projected_fractional_embedding,crossing,2.780000,n2.78_embedding_crossing::n2.78_m10.000_lam1.000,chi_connected,de2,1.0739534903,0.0320000000,0.4620000000,33.5610465719,38.0405510531,0.2969013578,False,,,,unstable_transfer_candidate
n2.78_embedding_crossing,t_projected_fractional_embedding,crossing,2.780000,n2.78_embedding_crossing::n2.78_m12.000_lam0.500,chi_connected,de2,2.1250067523,0.0320000000,0.4620000000,66.4064610094,38.0405510531,0.2969013578,False,,,,unstable_transfer_candidate
n2.78_embedding_crossing,t_projected_fractional_embedding,crossing,2.780000,n2.78_embedding_crossing::n2.78_m12.000_lam1.500,chi_connected,de2,1.2395052168,0.0320000000,0.4620000000,38.7345380250,38.0405510531,0.2969013578,False,,,,unstable_transfer_candidate
n2.78_embedding_crossing,t_projected_fractional_embedding,crossing,2.780000,n2.78_embedding_crossing::n2.78_m12.000_lam2.000,chi_connected,de2,1.1950900506,0.0320000000,0.4620000000,37.3465640813,38.0405510531,0.2969013578,False,,,,unstable_transfer_candidate
n2.78_embedding_crossing,t_projected_fractional_embedding,crossing,2.780000,n2.78_embedding_crossing::n2.78_m10.000_lam1.000,kmin_structure,de2,1.8385686392,0.0320000000,0.4620000000,57.4552699750,58.2858670562,0.1390497718,False,,,,unstable_transfer_candidate
n2.78_embedding_crossing,t_projected_fractional_embedding,crossing,2.780000,n2.78_embedding_crossing::n2.78_m12.000_lam0.500,kmin_structure,de2,1.3865391918,0.0320000000,0.4620000000,43.3293497438,58.2858670562,0.1390497718,False,,,,unstable_transfer_candidate
n2.78_embedding_crossing,t_projected_fractional_embedding,crossing,2.780000,n2.78_embedding_crossing::n2.78_m12.000_lam1.500,kmin_structure,de2,2.0614088237,0.0320000000,0.4620000000,64.4190257406,58.2858670562,0.1390497718,False,,,,unstable_transfer_candidate
n2.78_embedding_crossing,t_projected_fractional_embedding,crossing,2.780000,n2.78_embedding_crossing::n2.78_m12.000_lam2.000,kmin_structure,de2,1.8917268524,0.0320000000,0.4620000000,59.1164641375,58.2858670562,0.1390497718,False,,,,unstable_transfer_candidate
n2.78_embedding_rg_invariant,t_projected_fractional_embedding,rg_invariant,2.780000,n2.78_embedding_rg_invariant::n2.78_m12.000_lam1.000,chi_connected,de2,2.4283618673,0.0320000000,0.4620000000,75.8863083531,67.3503919328,0.2340818439,False,,,,unstable_transfer_candidate
n2.78_embedding_rg_invariant,t_projected_fractional_embedding,rg_invariant,2.780000,n2.78_embedding_rg_invariant::n2.78_m14.000_lam0.500,chi_connected,de2,2.0264558592,0.0320000000,0.4620000000,63.3267456000,67.3503919328,0.2340818439,False,,,,unstable_transfer_candidate
n2.78_embedding_rg_invariant,t_projected_fractional_embedding,rg_invariant,2.780000,n2.78_embedding_rg_invariant::n2.78_m14.000_lam1.500,chi_connected,de2,2.2839692245,0.0320000000,0.4620000000,71.3740382656,67.3503919328,0.2340818439,False,,,,unstable_transfer_candidate
n2.78_embedding_rg_invariant,t_projected_fractional_embedding,rg_invariant,2.780000,n2.78_embedding_rg_invariant::n2.78_m8.000_lam2.000,chi_connected,de2,1.2229102931,0.0320000000,0.4620000000,38.2159466594,67.3503919328,0.2340818439,False,,,,unstable_transfer_candidate
n2.78_embedding_rg_invariant,t_projected_fractional_embedding,rg_invariant,2.780000,n2.78_embedding_rg_invariant::n2.78_m12.000_lam1.000,kmin_structure,de2,1.2472771550,0.0320000000,0.4620000000,38.9774110937,47.2275496406,0.1866520766,False,,,,unstable_transfer_candidate
n2.78_embedding_rg_invariant,t_projected_fractional_embedding,rg_invariant,2.780000,n2.78_embedding_rg_invariant::n2.78_m14.000_lam0.500,kmin_structure,de2,1.8665744157,0.0320000000,0.4620000000,58.3304504906,47.2275496406,0.1866520766,False,,,,unstable_transfer_candidate
n2.78_embedding_rg_invariant,t_projected_fractional_embedding,rg_invariant,2.780000,n2.78_embedding_rg_invariant::n2.78_m14.000_lam1.500,kmin_structure,de2,1.7702437257,0.0320000000,0.4620000000,55.3201164281,47.2275496406,0.1866520766,False,,,,unstable_transfer_candidate
n2.78_embedding_rg_invariant,t_projected_fractional_embedding,rg_invariant,2.780000,n2.78_embedding_rg_invariant::n2.78_m8.000_lam2.000,kmin_structure,de2,1.2523194513,0.0320000000,0.4620000000,39.1349828531,47.2275496406,0.1866520766,False,,,,unstable_transfer_candidate
